price,area,rooms,city,municipality,floor,total_floors,building_year,elevator,terrace,parking,url
389000.0,200.0,6.0,Beograd,Novi Beograd,6.0,6.0,1981.0,True,True,True,https://www.nekretnine.rs/oglasi/78207/
72000.0,40.0,2.0,Beograd,Obrenovac,1.0,4.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/21605/
420000.0,100.0,4.0,Beograd,Vračar,0.0,2.0,1924.0,False,False,True,https://www.nekretnine.rs/oglasi/1094589/
298000.0,90.0,3.0,Beograd,Savski Venac,1.0,5.0,,True,True,False,https://www.nekretnine.rs/oglasi/64215/
198000.0,63.0,3.0,Beograd,Novi Beograd,6.0,19.0,1980.0,True,True,True,https://www.nekretnine.rs/oglasi/1031915/
78000.0,42.0,2.0,Beograd,Palilula,3.0,3.0,2009.0,False,True,True,https://www.nekretnine.rs/oglasi/1008589/
750000.0,95.0,3.0,Beograd,Savski Venac,20.0,25.0,,True,True,True,https://www.nekretnine.rs/oglasi/1090945/
357000.0,103.0,4.0,Beograd,Vračar,4.0,4.0,,False,True,True,https://www.nekretnine.rs/oglasi/1028669/
180000.0,65.0,2.0,Beograd,Voždovac,5.0,6.0,1979.0,True,True,False,https://www.nekretnine.rs/oglasi/1048845/
143000.0,30.0,2.0,Beograd,Stari Grad,4.0,4.0,,False,False,False,https://www.nekretnine.rs/oglasi/1041865/
310000.0,84.0,3.0,Beograd,Vračar,2.0,15.0,,True,True,False,https://www.nekretnine.rs/oglasi/1018835/
475000.0,93.0,3.0,Beograd,Savski Venac,2.0,16.0,,True,True,True,https://www.nekretnine.rs/oglasi/1054107/
189000.0,56.0,2.0,Beograd,Zvezdara,2.0,2.0,,False,False,False,https://www.nekretnine.rs/oglasi/95131/
198800.0,71.0,3.0,Beograd,Zemun,2.0,6.0,,False,True,False,https://www.nekretnine.rs/oglasi/1066317/
250000.0,42.0,2.0,Beograd,Vračar,6.0,7.0,,True,True,False,https://www.nekretnine.rs/oglasi/1035649/
140000.0,44.0,2.0,Beograd,Palilula,0.0,,,True,True,True,https://www.nekretnine.rs/oglasi/1090677/
213000.0,61.0,1.0,Beograd,Novi Beograd,1.0,4.0,,False,True,True,https://www.nekretnine.rs/oglasi/1054565/
154500.0,60.0,2.0,Beograd,Zvezdara,,,,False,True,True,https://www.nekretnine.rs/oglasi/1053341/
140000.0,31.0,2.0,Beograd,,4.0,7.0,,True,True,False,https://www.nekretnine.rs/oglasi/1053723/
92000.0,29.0,1.0,Beograd,,,5.0,,True,True,False,https://www.nekretnine.rs/oglasi/1091983/
719997.0,14.0,4.0,Beograd,Vračar,0.0,4.0,2024.0,True,True,True,https://www.nekretnine.rs/oglasi/1008379/
323802.0,78.0,2.0,Beograd,Zvezdara,2.0,6.0,2026.0,True,False,True,https://www.nekretnine.rs/oglasi/1052101/
123900.0,59.0,2.0,Beograd,Palilula,4.0,7.0,1978.0,True,True,True,https://www.nekretnine.rs/oglasi/1094989/
139000.0,45.0,2.0,Beograd,Zvezdara,3.0,3.0,,True,True,True,https://www.nekretnine.rs/oglasi/1036119/
310000.0,78.0,3.0,Beograd,Stari Grad,3.0,5.0,1938.0,True,True,False,https://www.nekretnine.rs/oglasi/1004283/
131600.0,47.0,2.0,Beograd,Surčin,4.0,4.0,2025.0,False,True,True,https://www.nekretnine.rs/oglasi/97135/
269900.0,84.0,3.0,Beograd,Voždovac,2.0,7.0,2013.0,True,True,True,https://www.nekretnine.rs/oglasi/1043871/
600000.0,180.0,4.0,Beograd,Voždovac,5.0,5.0,,True,True,True,https://www.nekretnine.rs/oglasi/1090949/
173900.0,46.0,2.0,Beograd,Stari Grad,2.0,2.0,1914.0,False,False,True,https://www.nekretnine.rs/oglasi/1050973/
245000.0,65.0,2.0,Beograd,Vračar,6.0,6.0,2011.0,True,True,True,https://www.nekretnine.rs/oglasi/1028795/
660000.0,158.0,2.0,Beograd,Čukarica,6.0,5.0,2022.0,True,True,True,https://www.nekretnine.rs/oglasi/31711/
399000.0,140.0,5.0,Beograd,Čukarica,3.0,4.0,2002.0,False,True,True,https://www.nekretnine.rs/oglasi/31705/
279000.0,69.0,3.0,Beograd,Rakovica,5.0,8.0,2023.0,True,True,False,https://www.nekretnine.rs/oglasi/68339/
544000.0,119.0,4.0,Beograd,Vračar,4.0,4.0,,True,True,True,https://www.nekretnine.rs/oglasi/87385/
159000.0,62.0,3.0,Beograd,Palilula,3.0,5.0,,False,True,True,https://www.nekretnine.rs/oglasi/1055023/
450000.0,88.0,4.0,Beograd,Novi Beograd,6.0,11.0,,True,True,False,https://www.nekretnine.rs/oglasi/1053247/
232500.0,75.0,3.0,Beograd,Novi Beograd,5.0,14.0,,False,True,False,https://www.nekretnine.rs/oglasi/1055569/
187000.0,57.0,3.0,Beograd,Zemun,3.0,3.0,,False,False,False,https://www.nekretnine.rs/oglasi/1011871/
95000.0,41.0,2.0,Beograd,Surčin,2.0,2.0,,False,True,True,https://www.nekretnine.rs/oglasi/1045929/
220000.0,60.0,2.0,Beograd,Voždovac,1.0,2.0,,False,True,False,https://www.nekretnine.rs/oglasi/999073/
199000.0,66.0,2.0,Beograd,Novi Beograd,1.0,5.0,,False,True,True,https://www.nekretnine.rs/oglasi/1030861/
145000.0,57.0,2.0,Beograd,Voždovac,1.0,3.0,1970.0,False,True,True,https://www.nekretnine.rs/oglasi/1046193/
360000.0,72.0,2.0,Beograd,Palilula,1.0,5.0,1933.0,False,True,False,https://www.nekretnine.rs/oglasi/73091/
163225.0,65.0,2.0,Beograd,Čukarica,1.0,5.0,2025.0,True,True,False,https://www.nekretnine.rs/oglasi/51955/
137000.0,56.0,2.0,Beograd,Čukarica,2.0,6.0,,True,True,False,https://www.nekretnine.rs/oglasi/1017839/
219000.0,75.0,3.0,Beograd,Čukarica,,2.0,,False,True,False,https://www.nekretnine.rs/oglasi/1041763/
450000.0,129.0,4.0,Beograd,Stari Grad,2.0,4.0,,True,True,True,https://www.nekretnine.rs/oglasi/64213/
200178.0,75.0,3.0,Beograd,Rakovica,7.0,7.0,2027.0,True,True,True,https://www.nekretnine.rs/oglasi/1049899/
505000.0,112.0,3.0,Beograd,Savski Venac,8.0,8.0,2025.0,False,True,True,https://www.nekretnine.rs/oglasi/3923/
200000.0,65.0,4.0,Beograd,Palilula,,5.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/1008415/
138000.0,55.0,3.0,Beograd,Voždovac,4.0,,2005.0,False,False,False,https://www.nekretnine.rs/oglasi/1036407/
109000.0,44.0,2.0,Beograd,Surčin,,3.0,2025.0,False,True,True,https://www.nekretnine.rs/oglasi/1042279/
138000.0,32.0,1.0,Beograd,Savski Venac,11.0,15.0,,True,True,False,https://www.nekretnine.rs/oglasi/1022999/
155000.0,55.0,3.0,Beograd,Čukarica,2.0,4.0,1980.0,False,False,True,https://www.nekretnine.rs/oglasi/1034503/
205000.0,104.0,4.0,Beograd,Voždovac,4.0,4.0,,False,True,False,https://www.nekretnine.rs/oglasi/1031325/
180000.0,40.0,2.0,Beograd,Vračar,,5.0,,True,False,True,https://www.nekretnine.rs/oglasi/1018677/
320000.0,86.0,3.0,Beograd,Vračar,2.0,3.0,1933.0,False,True,False,https://www.nekretnine.rs/oglasi/98069/
770000.0,109.0,4.0,Beograd,Savski Venac,12.0,17.0,,True,False,False,https://www.nekretnine.rs/oglasi/22445/
635000.0,125.0,4.0,Beograd,Vračar,3.0,5.0,,True,True,False,https://www.nekretnine.rs/oglasi/20595/
127000.0,36.0,1.0,Beograd,Novi Beograd,6.0,6.0,,True,True,False,https://www.nekretnine.rs/oglasi/1007049/
250888.0,57.0,2.0,Beograd,Savski Venac,1.0,22.0,,True,True,True,https://www.nekretnine.rs/oglasi/1017423/
415000.0,110.0,3.0,Beograd,Stari Grad,4.0,5.0,,False,True,False,https://www.nekretnine.rs/oglasi/1006041/
420000.0,123.0,4.0,Beograd,Čukarica,1.0,3.0,2010.0,False,True,True,https://www.nekretnine.rs/oglasi/1004355/
320000.0,86.0,3.0,Beograd,Vračar,2.0,3.0,,False,False,False,https://www.nekretnine.rs/oglasi/5117/
888000.0,167.0,8.0,Beograd,Stari Grad,5.0,6.0,,False,False,False,https://www.nekretnine.rs/oglasi/1038347/
101000.0,37.0,1.0,Beograd,Zemun,5.0,5.0,,False,True,False,https://www.nekretnine.rs/oglasi/1034225/
334000.0,78.0,3.0,Beograd,Vračar,4.0,7.0,,True,True,False,https://www.nekretnine.rs/oglasi/55243/
207000.0,55.0,2.0,Beograd,Zvezdara,2.0,12.0,1970.0,True,True,False,https://www.nekretnine.rs/oglasi/1009333/
520000.0,128.0,4.0,Beograd,Novi Beograd,1.0,6.0,1995.0,True,True,True,https://www.nekretnine.rs/oglasi/94401/
186000.0,102.0,4.0,Beograd,Palilula,1.0,,,False,True,True,https://www.nekretnine.rs/oglasi/1030463/
450000.0,88.0,4.0,Beograd,Stari Grad,2.0,5.0,,True,True,True,https://www.nekretnine.rs/oglasi/1049595/
195000.0,71.0,3.0,Beograd,Zvezdara,1.0,6.0,,True,True,True,https://www.nekretnine.rs/oglasi/1043705/
500000.0,88.0,3.0,Beograd,Savski Venac,22.0,24.0,,True,True,False,https://www.nekretnine.rs/oglasi/1007057/
286000.0,53.0,2.0,Beograd,Novi Beograd,7.0,10.0,,True,True,True,https://www.nekretnine.rs/oglasi/1010937/
136000.0,46.0,2.0,Beograd,Zemun,,3.0,,False,True,True,https://www.nekretnine.rs/oglasi/1018291/
195870.0,65.0,3.0,Beograd,Čukarica,1.0,6.0,2025.0,True,True,False,https://www.nekretnine.rs/oglasi/49567/
219000.0,119.0,5.0,Beograd,Rakovica,7.0,8.0,2005.0,True,True,False,https://www.nekretnine.rs/oglasi/72209/
125000.0,31.0,1.0,Beograd,Palilula,0.0,4.0,,False,False,False,https://www.nekretnine.rs/oglasi/1027469/
170000.0,50.0,2.0,Beograd,Voždovac,4.0,,,True,True,True,https://www.nekretnine.rs/oglasi/1028369/
862500.0,115.0,3.0,Beograd,Savski Venac,4.0,5.0,2027.0,True,True,True,https://www.nekretnine.rs/oglasi/61839/
594000.0,142.0,3.0,Beograd,Savski Venac,,13.0,,False,True,False,https://www.nekretnine.rs/oglasi/97771/
83000.0,46.0,2.0,Beograd,Surčin,1.0,2.0,2025.0,False,False,False,https://www.nekretnine.rs/oglasi/1033013/
604999.0,137.0,4.0,Beograd,Voždovac,6.0,7.0,2025.0,True,True,True,https://www.nekretnine.rs/oglasi/1031079/
190000.0,81.0,3.0,Beograd,Zvezdara,5.0,10.0,1980.0,True,True,True,https://www.nekretnine.rs/oglasi/812651/
364000.0,91.0,4.0,Beograd,Zemun,6.0,7.0,2019.0,True,True,True,https://www.nekretnine.rs/oglasi/1007441/
510000.0,107.0,4.0,Beograd,Palilula,1.0,2.0,1940.0,False,True,True,https://www.nekretnine.rs/oglasi/1002929/
510000.0,93.0,3.0,Beograd,Vračar,1.0,5.0,2017.0,True,False,True,https://www.nekretnine.rs/oglasi/1040671/
199000.0,113.0,3.0,Beograd,Savski Venac,3.0,3.0,,False,True,True,https://www.nekretnine.rs/oglasi/62791/
365000.0,83.0,3.0,Beograd,Savski Venac,15.0,23.0,2019.0,True,True,True,https://www.nekretnine.rs/oglasi/1042685/
199000.0,45.0,2.0,Beograd,Palilula,5.0,4.0,,True,True,False,https://www.nekretnine.rs/oglasi/1027677/
272000.0,91.0,3.0,Beograd,Voždovac,7.0,11.0,,True,True,True,https://www.nekretnine.rs/oglasi/1016525/
212000.0,47.0,2.0,Beograd,Palilula,2.0,6.0,,True,False,False,https://www.nekretnine.rs/oglasi/87557/
180000.0,45.0,2.0,Beograd,Voždovac,4.0,8.0,2025.0,True,True,True,https://www.nekretnine.rs/oglasi/1043009/
436500.0,97.0,4.0,Beograd,Stari Grad,3.0,3.0,,False,False,False,https://www.nekretnine.rs/oglasi/1030293/
505400.0,133.0,4.0,Beograd,Voždovac,3.0,5.0,2025.0,False,True,True,https://www.nekretnine.rs/oglasi/82009/
956880.0,167.0,4.0,Beograd,Novi Beograd,10.0,10.0,2023.0,True,True,True,https://www.nekretnine.rs/oglasi/33703/
349900.0,82.0,3.0,Beograd,Čukarica,2.0,4.0,,True,True,False,https://www.nekretnine.rs/oglasi/1012701/
190000.0,78.0,2.0,Beograd,Zvezdara,3.0,4.0,2018.0,False,True,True,https://www.nekretnine.rs/oglasi/1001305/
150000.0,60.0,3.0,Beograd,Zemun,2.0,3.0,,False,True,True,https://www.nekretnine.rs/oglasi/1026845/
110000.0,42.0,2.0,Beograd,Zvezdara,-1.0,3.0,2006.0,False,False,False,https://www.nekretnine.rs/oglasi/1039463/
280000.0,54.0,2.0,Beograd,Stari Grad,7.0,9.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/1030447/
210000.0,79.0,3.0,Beograd,Voždovac,2.0,2.0,,False,True,True,https://www.nekretnine.rs/oglasi/1022995/
272888.0,61.0,2.0,Beograd,Savski Venac,5.0,25.0,,True,True,True,https://www.nekretnine.rs/oglasi/1017405/
125000.0,55.0,3.0,Beograd,Čukarica,5.0,5.0,2001.0,False,True,False,https://www.nekretnine.rs/oglasi/81895/
450000.0,214.0,3.0,Beograd,Zvezdara,5.0,5.0,,True,True,True,https://www.nekretnine.rs/oglasi/67391/
105000.0,58.0,2.0,Beograd,Palilula,,4.0,,False,False,False,https://www.nekretnine.rs/oglasi/1044023/
475200.0,132.0,4.0,Beograd,Novi Beograd,,2.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/1046241/
210000.0,59.0,2.0,Beograd,Palilula,1.0,2.0,,False,False,False,https://www.nekretnine.rs/oglasi/1020581/
80000.0,19.0,1.0,Beograd,Zvezdara,,4.0,,False,False,False,https://www.nekretnine.rs/oglasi/1040759/
350000.0,80.0,3.0,Beograd,Vračar,2.0,6.0,,True,True,False,https://www.nekretnine.rs/oglasi/1039477/
135000.0,27.0,1.0,Beograd,Voždovac,2.0,4.0,2005.0,False,False,False,https://www.nekretnine.rs/oglasi/1027049/
320000.0,53.0,2.0,Beograd,Vračar,1.0,8.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/1034537/
660000.0,136.0,3.0,Beograd,Vračar,2.0,2.0,2007.0,True,True,True,https://www.nekretnine.rs/oglasi/1005387/
225000.0,76.0,3.0,Beograd,Novi Beograd,1.0,7.0,,True,True,True,https://www.nekretnine.rs/oglasi/1037607/
400000.0,58.0,2.0,Beograd,Savski Venac,,10.0,,True,False,True,https://www.nekretnine.rs/oglasi/1043255/
499000.0,93.0,3.0,Beograd,Savski Venac,5.0,17.0,,True,True,True,https://www.nekretnine.rs/oglasi/1020047/
87300.0,39.0,2.0,Beograd,Rakovica,1.0,2.0,2026.0,False,True,True,https://www.nekretnine.rs/oglasi/1014207/
260400.0,74.0,3.0,Beograd,Voždovac,6.0,6.0,,True,True,True,https://www.nekretnine.rs/oglasi/22223/
157000.0,84.0,2.0,Beograd,Čukarica,2.0,2.0,1970.0,False,True,True,https://www.nekretnine.rs/oglasi/1019339/
374000.0,117.0,4.0,Beograd,Voždovac,8.0,8.0,2025.0,True,True,True,https://www.nekretnine.rs/oglasi/1019319/
574406.0,175.0,4.0,Beograd,Čukarica,7.0,3.0,2027.0,True,True,True,https://www.nekretnine.rs/oglasi/1014759/
533000.0,126.0,4.0,Beograd,Zvezdara,7.0,7.0,2026.0,False,True,True,https://www.nekretnine.rs/oglasi/42433/
199000.0,64.0,3.0,Beograd,Novi Beograd,18.0,19.0,,True,True,False,https://www.nekretnine.rs/oglasi/1030275/
635000.0,221.0,8.0,Beograd,Stari Grad,,1.0,2019.0,False,False,False,https://www.nekretnine.rs/oglasi/1018681/
398000.0,202.0,5.0,Beograd,Palilula,4.0,4.0,2007.0,False,False,True,https://www.nekretnine.rs/oglasi/97863/
423200.0,92.0,4.0,Beograd,Stari Grad,5.0,6.0,,True,True,False,https://www.nekretnine.rs/oglasi/1032127/
210000.0,75.0,3.0,Beograd,Čukarica,0.0,7.0,1980.0,True,True,False,https://www.nekretnine.rs/oglasi/1051233/
145000.0,95.0,2.0,Beograd,Čukarica,,2.0,,False,True,False,https://www.nekretnine.rs/oglasi/1041097/
194039.0,67.0,2.0,Beograd,Rakovica,3.0,9.0,,True,True,False,https://www.nekretnine.rs/oglasi/43523/
320000.0,86.0,3.0,Beograd,Vračar,2.0,,,False,True,False,https://www.nekretnine.rs/oglasi/20495/
399000.0,106.0,3.0,Beograd,Novi Beograd,7.0,13.0,,True,True,True,https://www.nekretnine.rs/oglasi/62213/
670000.0,105.0,3.0,Beograd,Vračar,7.0,7.0,,True,True,True,https://www.nekretnine.rs/oglasi/84437/
153000.0,30.0,2.0,Beograd,Stari Grad,,4.0,2021.0,True,False,False,https://www.nekretnine.rs/oglasi/1027277/
440000.0,78.0,3.0,Beograd,Novi Beograd,18.0,22.0,,True,True,False,https://www.nekretnine.rs/oglasi/1019217/
147400.0,67.0,4.0,Beograd,Zvezdara,2.0,4.0,,True,True,True,https://www.nekretnine.rs/oglasi/34011/
126800.0,45.0,2.0,Beograd,Surčin,2.0,2.0,2025.0,False,True,True,https://www.nekretnine.rs/oglasi/1043683/
