price,area,rooms,floor,total_floors,building_year,elevator,terrace,parking,price_per_m2,building_age,floor_ratio,city_Beograd,municipality_Barajevo,municipality_Grocka,municipality_Mladenovac,municipality_Novi Beograd,municipality_Obrenovac,municipality_Palilula,municipality_Rakovica,municipality_Savski Venac,municipality_Sopot,municipality_Stari Grad,municipality_Surčin,municipality_Voždovac,municipality_Vračar,municipality_Zemun,municipality_Zvezdara,municipality_unknown,municipality_Čukarica
72000.0,40.0,2.0,1.0,4.0,2026.0,1,1,1,1800.0,0.0,0.25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
420000.0,100.0,4.0,0.0,2.0,1924.0,0,0,1,4200.0,102.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
298000.0,90.0,3.0,1.0,5.0,,1,1,0,3311.1111111111113,,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
198000.0,63.0,3.0,6.0,19.0,1980.0,1,1,1,3142.8571428571427,46.0,0.3157894736842105,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78000.0,42.0,2.0,3.0,3.0,2009.0,0,1,1,1857.142857142857,17.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
357000.0,103.0,4.0,4.0,4.0,,0,1,1,3466.019417475728,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180000.0,65.0,2.0,5.0,6.0,1979.0,1,1,0,2769.230769230769,47.0,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143000.0,30.0,2.0,4.0,4.0,,0,0,0,4766.666666666667,,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
310000.0,84.0,3.0,2.0,15.0,,1,1,0,3690.4761904761904,,0.13333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
475000.0,93.0,3.0,2.0,16.0,,1,1,1,5107.5268817204305,,0.125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
189000.0,56.0,2.0,2.0,2.0,,0,0,0,3375.0,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198800.0,71.0,3.0,2.0,6.0,,0,1,0,2800.0,,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
250000.0,42.0,2.0,6.0,7.0,,1,1,0,5952.380952380952,,0.8571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140000.0,44.0,2.0,0.0,,,1,1,1,3181.818181818182,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
213000.0,61.0,1.0,1.0,4.0,,0,1,1,3491.8032786885246,,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154500.0,60.0,2.0,,,,0,1,1,2575.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140000.0,31.0,2.0,4.0,7.0,,1,1,0,4516.129032258064,,0.5714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92000.0,29.0,1.0,,5.0,,1,1,0,3172.4137931034484,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
323802.0,78.0,2.0,2.0,6.0,2026.0,1,0,1,4151.307692307692,0.0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123900.0,59.0,2.0,4.0,7.0,1978.0,1,1,1,2100.0,48.0,0.5714285714285714,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139000.0,45.0,2.0,3.0,3.0,,1,1,1,3088.8888888888887,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
310000.0,78.0,3.0,3.0,5.0,1938.0,1,1,0,3974.358974358974,88.0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131600.0,47.0,2.0,4.0,4.0,2025.0,0,1,1,2800.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
269900.0,84.0,3.0,2.0,7.0,2013.0,1,1,1,3213.095238095238,13.0,0.2857142857142857,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173900.0,46.0,2.0,2.0,2.0,1914.0,0,0,1,3780.4347826086955,112.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
245000.0,65.0,2.0,6.0,6.0,2011.0,1,1,1,3769.230769230769,15.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
399000.0,140.0,5.0,3.0,4.0,2002.0,0,1,1,2850.0,24.0,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
279000.0,69.0,3.0,5.0,8.0,2023.0,1,1,0,4043.478260869565,3.0,0.625,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
